VENTING_INDEX_ABBREV,DATE_ISSUED,CURRENT_VI,CURRENT_VI_DESC,CURRENT_WSPD,CURRENT_MIX_HEIGHT,TODAY_VI,TODAY_VI_DESC,TODAY_WSPD,TODAY_MIX_HEIGHT,TOMORROW_VI,TOMORROW_VI_DESC,TOMORROW_WSPD,TOMORROW_MIX_HEIGHT,NAME,REGION,LAT,LONG
SECHELT,2019-11-08,13,POOR,8,174,23,POOR,20,218,11,POOR,15,114,Sechelt,COAST,49.47,-123.73
SMITHERS,2019-11-08,11,POOR,6,586,21,POOR,15,673,16,POOR,17,603,Smithers,CENTRAL INTERIOR,54.7824556,-127.1661613
SPARWOOD,2019-11-08,13,POOR,8,1225,23,POOR,11,1376,28,POOR,11,1467,Sparwood,SOUTHERN INTERIOR,49,114
SQUAMISH,2019-11-08,10,POOR,4,77,38,FAIR,9,719,11,POOR,3,160,Squamish,COAST,49.70240862,-123.1467323
SRN VAN ISLD,2019-11-08,17,POOR,7,236,25,POOR,13,250,12,POOR,7,93,Sth Van Is,COAST,48.43343843,-123.3617069
STEWART,2019-11-08,9,POOR,3,41,16,POOR,15,105,17,POOR,14,115,Stewart,COAST,56.15,-129.35
TERRACE,2019-11-08,11,POOR,4,304,19,POOR,13,367,28,POOR,20,397,Terrace,COAST,54.52340499,-128.5984497
TOFINO,2019-11-08,12,POOR,15,62,28,POOR,28,153,13,POOR,25,52,Tofino,COAST,49.153056,-125.904
VANCOUVER,2019-11-08,10,POOR,2,94,27,POOR,16,218,12,POOR,9,62,Metro Vancouver,COAST,49,-123
VANDERHOOF,2019-11-08,11,POOR,23,628,28,POOR,24,760,14,POOR,10,710,Vanderhoof,CENTRAL INTERIOR,54.0175,-124.0075
WATSON LAKE,2019-11-08,23,POOR,10,965,51,FAIR,20,1157,50,FAIR,14,1345,Watson Lake,YUKON,59.58,-128.52
WHITEHORSE,2019-11-08,36,FAIR,13,1130,21,POOR,17,840,10,POOR,1,964,Whitehorse,YUKON,60,-135
WILLIAMS LAKE,2019-11-08,12,POOR,19,971,19,POOR,18,1040,17,POOR,7,1161,Williams Lake,CENTRAL INTERIOR,52.14147173,-122.1428843
